Country.Name	Country.Code	X2019
Gibraltar	GIB	33701
Greece	GRC	10716322
Greenland	GRL	56225
Grenada	GRD	112003
Guam	GUM	167294
Guatemala	GTM	16604026
Guinea	GIN	12771246
Guinea-Bissau	GNB	1920922
Guyana	GUY	782766
Haiti	HTI	11263077
Honduras	HND	9746117
Hong Kong SAR, China	HKG	7507400
Hungary	HUN	9769949
Iceland	ISL	361313
India	IND	1366417754
Indonesia	IDN	270625568
Iran, Islamic Rep.	IRN	82913906
Iraq	IRQ	39309783
Ireland	IRL	4941444
Isle of Man	IMN	84584
Israel	ISR	9053300
Italy	ITA	60297396
Jamaica	JAM	2948279
Japan	JPN	126264931
Jordan	JOR	10101694
Kazakhstan	KAZ	18513930
Kenya	KEN	52573973
Kiribati	KIR	117606
Korea, Dem. People’s Rep.	PRK	25666161
Korea, Rep.	KOR	51709098
Kosovo	XKX	1794248
Kuwait	KWT	4207083
Kyrgyz Republic	KGZ	6456900
Lao PDR	LAO	7169455
Latvia	LVA	1912789
Lebanon	LBN	6855713
Lesotho	LSO	2125268
Liberia	LBR	4937374
Libya	LBY	6777452
Liechtenstein	LIE	38019
Lithuania	LTU	2786844
Luxembourg	LUX	619896
Macao SAR, China	MAC	640445
Madagascar	MDG	26969307
Malawi	MWI	18628747
Malaysia	MYS	31949777
Maldives	MDV	530953
Mali	MLI	19658031
Malta	MLT	502653
Marshall Islands	MHL	58791
Mauritania	MRT	4525696
Mauritius	MUS	1265711
Mexico	MEX	127575529
Micronesia, Fed. Sts.	FSM	113815
Moldova	MDA	2657637
Monaco	MCO	38964
Mongolia	MNG	3225167
Montenegro	MNE	622137
Morocco	MAR	36471769
Mozambique	MOZ	30366036
Myanmar	MMR	54045420
Namibia	NAM	2494530
Nauru	NRU	12581
Nepal	NPL	28608710
Netherlands	NLD	17332850
New Caledonia	NCL	287800
New Zealand	NZL	4917000
Nicaragua	NIC	6545502
Niger	NER	23310715
Nigeria	NGA	200963599
North Macedonia	MKD	2083459
Northern Mariana Islands	MNP	57216
Norway	NOR	5347896
Oman	OMN	4974986
Pakistan	PAK	216565318
Palau	PLW	18008
Panama	PAN	4246439
Papua New Guinea	PNG	8776109
Paraguay	PRY	7044636
Peru	PER	32510453
Philippines	PHL	108116615
Poland	POL	37970874
Portugal	PRT	10269417
Puerto Rico	PRI	3193694
Qatar	QAT	2832067
Romania	ROU	19356544
Russian Federation	RUS	144373535
Rwanda	RWA	12626950
Samoa	WSM	197097
San Marino	SMR	33860
Sao Tome and Principe	STP	215056
Saudi Arabia	SAU	34268528
Senegal	SEN	16296364
Serbia	SRB	6944975
Seychelles	SYC	97625
Sierra Leone	SLE	7813215
Singapore	SGP	5703569
Sint Maarten (Dutch part)	SXM	40733
Slovak Republic	SVK	5454073
Slovenia	SVN	2087946
Solomon Islands	SLB	669823
Somalia	SOM	15442905
South Africa	ZAF	58558270
South Sudan	SSD	11062113
Spain	ESP	47076781
Sri Lanka	LKA	21803000
St. Kitts and Nevis	KNA	52834
St. Lucia	LCA	182790
St. Martin (French part)	MAF	38002
St. Vincent and the Grenadines	VCT	110589
Sudan	SDN	42813238
Suriname	SUR	581363
Sweden	SWE	10285453
Switzerland	CHE	8574832
Syrian Arab Republic	SYR	17070135
Tajikistan	TJK	9321018
Tanzania	TZA	58005463
Thailand	THA	69625582
Timor-Leste	TLS	1293119
Togo	TGO	8082366
Tonga	TON	104494
Trinidad and Tobago	TTO	1394973
Tunisia	TUN	11694719
Turkey	TUR	83429615
Turkmenistan	TKM	5942089
Turks and Caicos Islands	TCA	38191
Tuvalu	TUV	11646
Uganda	UGA	44269594
Ukraine	UKR	44385155
United Arab Emirates	ARE	9770529
United Kingdom	GBR	66834405
United States	USA	328239523
Uruguay	URY	3461734
Uzbekistan	UZB	33580650
Vanuatu	VUT	299882
Venezuela, RB	VEN	28515829
Vietnam	VNM	96462106
Virgin Islands (U.S.)	VIR	106631
West Bank and Gaza	PSE	4685306
Yemen, Rep.	YEM	29161922
Zambia	ZMB	17861030
Zimbabwe	ZWE	14645468
